LotArea,OverallQual,OverallCond,YearBuilt,GrLivArea,GarageCars,SalePrice
17241,3,1,1968,3519,0,598586
8444,1,6,1977,518,2,197898
2138,7,6,1960,2302,0,503323
10885,1,5,2023,1911,4,412028
15185,2,4,2007,3457,2,619630
6655,9,5,1969,4700,0,848883
12026,4,9,1991,3128,3,607209
9729,10,3,1992,2689,2,687538
7023,4,3,1973,1179,2,339746
15166,5,6,1954,3732,3,695351
11357,10,4,1965,3566,2,789981
6859,9,4,1975,2379,1,583073
11259,1,2,2004,4530,2,692785
17039,3,7,1974,4116,3,709446
5608,9,10,1994,2609,2,643269
2832,3,2,1989,1659,2,356238
8304,7,3,1956,4432,2,787987
11160,2,8,1979,555,4,237323
9579,7,7,1999,829,3,393124
3635,1,3,1967,2475,1,395892
13718,7,9,2017,4425,0,822233
15179,3,4,1959,4211,0,649884
6332,6,3,1980,2845,4,618345
7795,1,5,2012,2529,2,444802
9352,8,9,1967,4888,1,865176
8985,6,6,1969,1565,1,417687
6825,2,6,1968,3885,1,581077
4293,10,8,1994,2323,3,647088
14788,10,4,1960,2966,0,689275
16921,4,2,1979,4077,0,679529
12783,3,9,2004,1361,2,373590
7910,7,8,1980,4677,1,828900
18780,8,4,2023,1318,2,526197
7802,7,8,2020,2576,3,637668
17362,3,10,1989,3502,4,636997
18570,7,4,1960,1576,2,481374
18992,9,4,1980,2911,2,704236
2785,2,4,1966,784,3,228492
14474,3,6,1993,4629,0,746886
11696,1,8,1962,3247,2,515694
11445,8,9,1960,603,0,349159
11819,2,1,1984,3312,4,592879
14786,6,10,2021,3992,3,798389
15466,4,10,1952,3845,3,683780
3600,2,4,1978,3514,2,570209
5716,3,7,2013,1154,2,317186
19028,4,1,1999,1077,1,361539
10542,9,1,1981,4294,1,827468
2962,10,2,1999,1860,2,578969
5826,7,7,2007,2553,4,616121
16203,3,6,1988,3870,4,687847
5627,7,9,1984,3591,1,673522
14228,6,4,1998,4691,2,842925
2114,8,5,1964,4597,1,815319
2265,2,5,2021,1444,0,311754
17498,8,8,2015,2921,1,703053
7067,7,4,2015,1808,3,541911
17045,4,6,1984,1611,1,409991
17082,2,7,1958,2841,0,460916
9132,10,2,1981,1997,4,611931
15936,1,10,2015,1002,3,296601
17529,2,9,1987,2117,0,416295
9239,5,5,1987,4145,4,768361
13018,9,1,1978,1827,4,594511
19854,7,4,2010,3111,1,708982
12294,9,4,1992,3943,4,853347
9664,10,7,1995,3905,3,850997
16516,8,8,2019,1212,0,472645
7846,3,5,1956,1086,1,261691
19193,3,7,1966,3110,4,580110
8262,2,5,2019,1432,2,359155
15107,1,1,1988,1723,1,350499
13557,2,2,1957,4077,3,648527
10269,10,2,1962,2991,3,718575
16346,1,3,1966,3579,0,534405
11343,6,7,2022,751,2,392095
18177,8,6,2008,1197,3,518699
8069,5,10,1975,1269,0,341408
7597,8,6,1995,1789,2,514469
8523,2,3,1982,1680,1,354829
16193,4,10,2022,3577,2,671134
3281,4,1,1965,3081,4,566085
13557,8,8,1956,543,3,365089
10518,7,10,2009,4611,0,843322
10514,9,2,1960,2656,4,652768
13405,2,10,1995,797,3,292116
3364,6,10,1953,2127,0,433682
7353,8,2,1957,1183,4,447366
6765,4,1,2014,1250,3,401043
9779,9,8,1964,3721,2,762006
4667,9,8,2013,1554,0,508658
13585,4,1,1966,523,2,280165
9830,9,1,1957,1275,4,494050
11817,9,8,2002,3147,2,740566
19743,9,8,1995,1947,2,608280
16286,3,4,1976,1020,0,287842
19299,6,10,1983,4238,1,786563
18615,4,3,1967,4076,4,744279
2535,6,1,1998,3983,2,732780
11011,5,1,1971,4815,1,806791
8234,5,5,1978,3309,4,651575
17562,1,6,1987,2663,1,475514
16033,7,4,1990,3418,3,727774
7420,7,1,2017,3028,3,693422
3941,4,6,1987,3115,2,578424
14563,4,10,2006,3602,3,673295
10494,2,10,1993,816,1,248066
17683,4,7,1975,4640,1,765912
12193,8,7,1990,1264,0,460103
13384,2,10,1970,1635,4,386732
5032,8,4,2014,925,0,414338
12390,5,8,1981,1513,1,399970
19058,10,6,2000,2472,0,685528
13834,8,7,2021,3211,4,758188
8463,10,6,2021,4723,0,933672
16358,1,3,1992,2382,3,445960
14390,9,5,2018,4190,3,888949
4195,1,2,1968,4740,4,696545
16076,3,10,1999,4422,1,718528
11612,6,10,1963,4383,3,791209
9838,6,2,1985,4855,3,862275
6976,4,2,1980,1852,3,437726
17808,4,3,1968,3927,3,694240
10461,7,2,2012,1897,3,537924
17486,5,2,1976,2427,0,523831
4290,3,4,1992,1144,0,290667
16465,1,2,2008,1303,2,341685
3795,1,7,1964,798,3,207707
19171,1,10,1955,4245,0,625894
14548,8,3,1950,732,2,386707
12891,9,4,2008,3212,3,756859
14310,4,4,1962,3190,0,577229
19840,10,10,2012,4605,1,934998
11790,2,8,1994,4099,0,625877
3541,1,7,1952,4223,3,598926
18391,5,2,2005,822,3,395845
12946,9,2,2011,3996,0,836062
14651,4,9,1966,2773,3,563850
11440,7,10,1992,4610,4,871516
10291,9,9,1972,4473,2,864466
10677,3,2,2010,3228,3,612032
17549,3,6,2016,1365,3,402188
6010,10,6,1961,4476,2,854548
7355,6,2,2020,754,4,392306
5704,8,2,2010,3459,2,737118
14244,3,10,2016,4132,1,717637
19395,3,1,1975,4556,3,750895
2480,6,2,1988,3801,0,683717
11183,3,7,1959,2028,4,445230
12859,2,9,1980,1976,0,376188
19718,2,6,1970,2871,1,514532
11853,1,4,1963,2374,0,369245
18488,2,8,1978,2569,0,475768
2684,6,7,1957,3190,2,610690
19616,10,9,1962,1102,2,486661
16375,4,3,2006,1773,4,477295
6741,5,5,1980,1876,4,463530
9382,5,8,2014,4740,1,804194
3307,2,1,1998,4932,0,728099
5870,3,1,1985,918,1,285954
17318,2,6,2013,3376,2,613154
14625,10,9,1961,2673,3,690682
2747,7,8,1982,2063,0,492261
2342,6,9,1999,1756,4,487957
8230,5,1,1963,942,3,348334
5181,2,1,1978,2462,4,458423
11866,7,7,1969,1908,4,518572
5115,10,5,1980,2751,2,671973
8270,9,1,1980,1469,2,518038
18318,5,7,1985,1377,0,407757
7224,2,6,1970,1692,3,363215
13523,1,3,2004,1676,2,349477
11260,7,9,1951,3349,0,642144
16979,1,6,2018,2387,1,464635
16219,3,9,2012,3971,3,714545
16776,1,8,1993,1548,2,343210
16556,6,4,2012,3196,3,692567
10905,10,5,1951,3978,1,811870
18178,10,9,1975,2536,3,675382
13382,8,4,1996,4150,2,840489
6305,5,2,1960,3477,3,632662
11645,6,6,2018,1242,3,438665
6337,6,5,2001,4852,2,841821
7124,8,3,1996,2400,2,608843
16391,8,3,1999,599,2,412577
7434,8,3,1991,3699,1,730037
5363,10,1,1957,2848,1,646109
18801,5,4,1959,1170,0,360433
16468,6,2,1987,2510,1,576681
7491,10,6,1971,4995,1,938996
9614,10,4,2019,3821,1,829800
3365,5,8,2009,4040,4,732028
15609,2,2,1986,2248,1,443148
3723,2,9,2011,1701,4,378783
3094,7,8,2000,913,2,389257
6966,2,2,2011,3469,2,595169
3583,7,10,2001,4215,4,817121
12465,10,8,2024,4968,3,997292
12251,1,3,1999,1372,2,325773
4062,8,3,2024,4434,4,886118
14446,1,9,1975,4501,1,661344
5503,9,7,1983,4829,2,907506
11987,6,10,2010,2642,1,590124
6013,10,8,1966,530,3,407902
14458,2,4,1996,2238,4,476990
7026,7,2,1996,2020,2,532818
11145,1,10,2024,1895,0,366880
12004,9,7,1954,1267,3,477837
17667,7,4,2018,774,1,411911
3832,10,9,2020,3932,0,811048
7694,10,1,1957,2458,1,612013
13564,8,1,2014,4084,2,834021
8684,3,7,2023,2057,3,466244
19145,9,6,1967,2945,2,696697
12238,9,8,2007,1189,1,487538
12121,8,3,2002,4286,3,867745
5571,8,8,1980,588,0,329811
17532,7,3,1991,4713,0,843429
12477,5,1,1970,3903,2,699061
14335,6,7,2019,4421,1,816850
6472,7,8,2018,2608,1,601219
7079,6,4,1969,3286,0,623113
14641,2,5,2014,3645,1,609237
6627,6,2,1953,1702,4,439879
